"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.804286300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.301885300E-2,8.884936571E-3,6.244644523E-3,4.542350769E-2,4.670366938E-2
2.799484300E-2,1.871740818E-2,4.717873782E-2,2.695083618E-2,5.746757557E-2
3.297062400E-2,-3.335356712E-3,1.081873178E-1,1.421241760E-1,1.786474230E-1
3.794661400E-2,1.153409481E-2,1.175879240E-1,-2.068138123E-2,1.199486338E-1
4.292260300E-2,6.124427915E-2,5.430936068E-2,-2.610034943E-1,2.735382832E-1
4.789859300E-2,1.537882984E-1,-1.030611526E-2,-2.938146591E-1,3.317892564E-1
5.287458200E-2,2.823836803E-1,-7.044538110E-2,-2.112627029E-1,3.596317899E-1
5.785057200E-2,3.788098097E-1,-1.240213960E-1,4.608249664E-2,4.012502649E-1
6.282656200E-2,4.011850357E-1,-2.462864965E-1,1.317424774E-1,4.888379605E-1
6.780249900E-2,3.153373599E-1,-5.470842719E-1,8.043193817E-2,6.365596184E-1
7.277843700E-2,3.419564366E-1,-2.973016798E-1,2.844324112E-1,5.349993364E-1
7.775437400E-2,2.570322752E-1,-6.107111275E-2,-1.139545441E-2,2.644335979E-1
8.273031200E-2,1.509684324E-2,9.124994278E-2,-5.307016373E-1,5.387009324E-1
8.770624900E-2,-1.653492451E-1,2.347260267E-1,-4.460821152E-1,5.304959320E-1
9.268218700E-2,-2.854362428E-1,3.430564702E-1,-3.014440536E-1,5.385444345E-1
9.765812400E-2,-3.175826073E-1,4.104079604E-1,-5.856857300E-1,7.825095403E-1
1.026340620E-1,-3.083015978E-1,3.937302828E-1,5.412378311E-1,7.368933441E-1
1.076099990E-1,-3.293443322E-1,3.267914355E-1,9.936647415E-1,1.096644860E0
1.125859370E-1,-2.467155457E-1,3.122901320E-1,7.348432541E-1,8.356962936E-1
1.175618740E-1,-2.767592371E-1,3.396233916E-1,4.034614563E-1,5.955844778E-1
1.225378120E-1,-2.854430079E-1,3.805876672E-1,-1.451778412E-1,4.973945002E-1
1.275137490E-1,-2.425619662E-1,3.897698522E-1,-5.878934860E-1,7.459058895E-1
1.324896870E-1,-1.605365872E-1,4.191852510E-1,-5.543899536E-1,7.133277586E-1
1.374656240E-1,-1.787412167E-2,4.261786342E-1,-2.243871689E-1,4.819723166E-1
1.424415620E-1,8.733731508E-2,3.926534355E-1,1.155633926E-1,4.185205189E-1
1.474174990E-1,1.749489307E-1,3.473188281E-1,1.756496429E-1,4.267203930E-1
1.523934370E-1,2.357373834E-1,2.813367844E-1,3.070640564E-2,3.683278207E-1
1.573693740E-1,2.699110508E-1,2.230613232E-1,-9.986591339E-2,3.641174672E-1
1.623453120E-1,3.058898449E-1,1.720207632E-1,-1.196365356E-1,3.707730314E-1
1.673212490E-1,2.702863812E-1,1.136440933E-1,-2.761650085E-2,2.945036145E-1
