"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.005069300E-2,2.222943306E-2,1.137828827E-2,-1.171016693E-2,2.758153635E-2
2.502637000E-2,1.111739874E-1,3.552162647E-2,2.132320404E-2,1.186428272E-1
3.000204700E-2,2.595210075E-1,8.319133520E-2,-5.888462067E-2,2.788177723E-1
3.497767200E-2,3.379005194E-1,1.423224211E-1,-1.583290100E-2,3.669919799E-1
3.995329700E-2,6.618540287E-1,4.771240354E-1,8.306598663E-2,8.201207585E-1
4.492892200E-2,8.254961967E-1,6.260331273E-1,2.724123001E-1,1.071246894E0
4.990454700E-2,-3.212094307E-2,-7.659298182E-2,3.758916855E-1,3.849581783E-1
5.488017200E-2,-4.079257250E-1,-2.968589365E-1,3.019704819E-1,5.879751672E-1
5.985579700E-2,-5.219519138E-1,-3.385111690E-1,-2.055616379E-1,6.551940162E-1
6.483142200E-2,-6.994974613E-1,-3.842881918E-1,-5.028982162E-1,9.433348974E-1
6.980704700E-2,-8.453643322E-1,-3.993656635E-1,-5.235919952E-1,1.071579379E0
7.478267200E-2,-8.787072897E-1,-3.814927042E-1,-2.489032745E-1,9.897555377E-1
7.975829700E-2,-7.852820754E-1,-3.632518351E-1,9.864711761E-2,8.708335590E-1
8.473392200E-2,-6.033094525E-1,-2.497707009E-1,2.625436783E-1,7.037733169E-1
8.970954700E-2,-4.145184755E-1,-1.617975235E-1,1.071538925E-1,4.576963643E-1
9.468517200E-2,-2.490200996E-1,-1.007586718E-1,-2.735109329E-1,3.833686873E-1
9.966079700E-2,-1.327902079E-1,-4.196619987E-2,-3.448266983E-1,3.718868821E-1
1.046364220E-1,-9.580683708E-2,-3.112709522E-2,-3.241348267E-2,1.058228706E-1
1.096120470E-1,-5.288052559E-2,-4.889956117E-2,3.508996964E-1,3.582151783E-1
1.145876720E-1,-1.346397400E-2,-9.016388655E-2,6.760530472E-1,6.821719194E-1
1.195632970E-1,-1.786291599E-2,-1.129377782E-1,7.550506592E-1,7.636592980E-1
1.245389220E-1,5.079686642E-2,-8.554464579E-2,5.483026505E-1,5.572557802E-1
1.295145470E-1,5.232119560E-2,-1.197132468E-1,3.145465851E-1,3.405999459E-1
1.344901720E-1,-6.067633629E-3,-1.991287470E-1,6.315326691E-2,2.089914093E-1
1.394657970E-1,-4.413866997E-2,-2.440094948E-1,-2.658843994E-1,3.635703090E-1
1.444414220E-1,-7.233464718E-2,-2.967664003E-1,-5.277109146E-1,6.097388022E-1
1.494170470E-1,-7.241559029E-2,-3.289150596E-1,-5.315399170E-1,6.292565593E-1
1.543926720E-1,-5.866873264E-2,-3.178509474E-1,-3.556604385E-1,4.805887977E-1
1.593682970E-1,1.103103161E-2,-3.067636490E-1,-6.587791443E-2,3.139514606E-1
1.643439220E-1,5.675768852E-2,-3.053753972E-1,1.679420471E-1,3.531006933E-1
1.693195470E-1,9.342789650E-2,-2.904318869E-1,2.459802628E-1,3.919001690E-1
1.742951720E-1,9.797763824E-2,-2.855308056E-1,1.963415146E-1,3.601075518E-1
1.792707970E-1,5.191946030E-2,-3.087979257E-1,8.319950104E-2,3.239968306E-1
1.842464220E-1,-3.013300896E-2,-3.684503436E-1,-1.733207703E-2,3.700865505E-1
1.892220470E-1,-7.323610783E-2,-4.074817896E-1,-1.010713577E-1,4.261693979E-1
1.941977240E-1,-1.531560421E-1,-4.404576421E-1,-1.173353195E-1,4.808609829E-1
1.991734010E-1,-1.897788048E-1,-4.537252784E-1,-8.656311035E-2,4.993754049E-1
2.041490780E-1,-1.932930946E-1,-4.293163121E-1,-2.393913269E-2,4.714316476E-1
2.091247550E-1,-1.876667738E-1,-3.869491816E-1,4.179096222E-2,4.320821353E-1
2.141004320E-1,-1.683368683E-1,-2.944434285E-1,1.106281281E-1,3.567531591E-1
2.190761090E-1,-1.541457176E-1,-2.090699971E-1,1.545152664E-1,3.022352287E-1
2.240517860E-1,-1.167349815E-1,-1.306270361E-1,2.114763260E-1,2.746137559E-1
2.290274640E-1,-1.033816338E-1,-7.764124870E-2,2.765941620E-1,3.053199243E-1
2.340031410E-1,-1.184632778E-1,-5.912345648E-2,2.701940536E-1,3.008886138E-1
2.389788180E-1,-1.383056641E-1,-7.893879712E-2,2.032279968E-1,2.581887083E-1
2.439544950E-1,-1.724480391E-1,-1.317104846E-1,1.659936905E-1,2.732030073E-1
2.489301720E-1,-1.878515482E-1,-2.121098936E-1,1.484632492E-1,3.198752061E-1
2.539058490E-1,-1.987302303E-1,-2.821595669E-1,1.361131668E-1,3.709912665E-1
2.588815260E-1,-2.003901005E-1,-3.467508852E-1,1.053485870E-1,4.141143484E-1
2.638572030E-1,-2.118415833E-1,-3.824517429E-1,4.242134094E-2,4.392559188E-1
2.688328800E-1,-2.140194178E-1,-4.179483950E-1,-5.149841309E-3,4.695867257E-1
2.738085570E-1,-1.882565022E-1,-4.013717473E-1,-4.240131378E-2,4.453511665E-1
2.787842340E-1,-1.301497221E-1,-3.616961837E-1,-6.017971039E-2,3.890818384E-1
2.837599110E-1,-8.235609531E-2,-2.898435295E-1,-6.827926636E-2,3.089560749E-1
2.887355890E-1,-3.975379467E-2,-2.050909996E-1,-5.749797821E-2,2.166764865E-1
2.937112660E-1,1.674890518E-2,-1.262854934E-1,-9.364128113E-3,1.277350326E-1
2.986869430E-1,7.758986950E-2,-6.275475025E-2,7.079887390E-2,1.223553312E-1
3.036626200E-1,1.380776167E-1,4.413023591E-3,1.260061264E-1,1.869824775E-1
3.086382970E-1,1.462117434E-1,4.209105670E-2,1.379041672E-1,2.053462692E-1
3.136139740E-1,1.683380604E-1,7.872591913E-2,1.449508667E-1,2.356824700E-1
3.185896510E-1,1.756732464E-1,9.543909132E-2,1.661109924E-1,2.599280121E-1
3.235653280E-1,1.544718742E-1,9.233863652E-2,1.823072433E-1,2.561716509E-1
