- on 26.03.24 reset to 11:16
- on 27.03.24 at 14:05:00 shows 14:05:06
- on 28.03.24 at 9:16:30 shows 9:16:40
- on 28.03.24 at 15:40:00 shows 15:40:10
- on 29.03.24 at 9:00:00 shows 9:00:14.6
- on 30.03.24 at 9:13:00 shows 9:13:23.5
- on 31.03.24 at 12:35:00 shows 12:35:34
- on 31.03.24 at 16:05:20 shows 16:05:54.5 (+6.64sec/day)
- on 31.03.24 reset to 16:07
- on 31.03.24 at 17:35:00 shows 17:35:00
- on 31.03.24 at 23:05:00 shows 23:05:00.6
- on 01.04.24 at 19:58:30 shows 19:58:37
- on 02.04.24 at 22:30:40 shows 22:30:53
- on 03.04.24 at 16:40:00 shows 16:40:16.6
- on 03.04.24 at 22:21:00 shows 22:21:18
- on 04.04.24 at 16:35:00 shows 16:35:21.3
- on 05.04.24 at 11:38:00 shows 11:38:25
- on 06.04.24 at 22:14:00 shows 22:14:30
- on 07.04.24 at 17:16:00 shows 17:16:34.3
- on 08.04.24 at 18:06:00 shows 18:06:39.3
- on 09.04.24 at 17:35:00 shows 17:35:43.6
- on 10.04.24 at 17:26:00 shows 17:26:48
- on 11.04.24 at 17:20:00 shows 17:20:52
- on 12.04.24 at 13:13:00 shows 13:13:55.6
- on 13.04.24 at 11:46:00 shows 11:47:01.3
- on 13.04.24 at 21:18:00 shows 21:19:03
- on 14.04.24 at 21:10:00 shows 21:11:17
- on 15.04.24 at 09:08:00 shows 09:09:10.6
- on 15.04.24 at 19:06:00 shows 19:07:12.6
- on 16.04.24 at 22:54:00 shows 22:55:17.5
- on 17.04.24 at 6:23:00 shows 6:24:17.6
- on 17.04.24 at 19:55:00 shows 19:56:19.6
- on 18.04.24 at 11:45:00 shows 11:46:25.3
- on 19.04.24 at 18:09:00 shows 18:10:29
- on 20.04.24 at 13:26:00 shows 13:27:31.2
- on 21.04.24 at 10:09:00 shows 10:10:35.5
- on 22.04.24 at 9:31:00 shows 9:32:41.6
- on 22.04.24 at 20:46:00 shows 20:47:42.6
- on 23.04.24 at 14:04:00 shows 14:05:48.6
- on 24.04.24 at 11:34:00 shows 11:35:54
- on 24.04.24 at 21:10:00 shows 21:11:55.6
- on 25.04.24 at 11:54:00 shows 11:55:59.5
- on 25.04.24 at 16:51:00 shows 16:53:00 (+4.68sec/day)
- on 25.04.24 reset to 16:55
- on 25.04.24 at 23:21:00 shows 23:21:02
- on 26.04.24 at 15:27:00 shows 15:27:05.6
- on 27.04.24 at 10:30:00 shows 10:30:11
- on 27.04.24 at 22:02:00 shows 22:02:14
- on 28.04.24 at 11:51:00 shows 11:51:19
- on 28.04.24 at 22:46:00 shows 22:46:22
- on 29.04.24 at 9:41:00 shows 9:41:26
- on 30.04.24 at 8:11:00 shows 8:11:33
- on 01.05.24 at 9:47:30 shows 9:48:08.3
- on 02.05.24 at 8:25:00 shows 8:25:45.2
- on 03.05.24 at 11:44:00 shows 11:44:50.6
- on 04.05.24 at 12:26:00 shows 12:26:58.3
