"Time (s)","Illuminance (lx)"
0.000000000E0,2.836185059E3
7.571667800E-2,3.952499866E0
2.757171990E-1,3.663749933E0
4.757167300E-1,2.024999857E0
6.757164170E-1,9.157500267E0
8.757163650E-1,2.140124893E1
1.075716886E0,2.448499870E1
1.275716730E0,1.956875038E1
1.475820845E0,1.841250038E1
1.675825532E0,1.793000031E1
1.875826417E0,1.725499916E1
2.075831834E0,1.899124908E1
2.275833449E0,1.648499870E1
2.475836522E0,1.764124870E1
2.675840845E0,1.686999893E1
2.875843397E0,1.667749977E1
3.075845063E0,1.609874916E1
3.275819386E0,1.744874954E1
3.475726626E0,1.542374992E1
3.675725897E0,1.571374989E1
3.875726417E0,1.551999950E1
4.075729022E0,1.378499985E1
4.275729022E0,1.455624962E1
4.475728813E0,1.397749996E1
4.675729542E0,1.397749996E1
4.875729595E0,1.243499947E1
5.075745792E0,1.233874989E1
5.275730480E0,1.282124996E1
5.475729022E0,1.301375008E1
5.675731209E0,1.147124958E1
5.875728813E0,1.243499947E1
6.075729074E0,1.262874985E1
6.275729855E0,1.166499996E1
6.475730115E0,1.041125011E1
6.675731261E0,1.108624935E1
6.875728032E0,1.195374966E1
7.075845011E0,1.185750008E1
7.275847199E0,1.060375023E1
7.475820480E0,1.079624939E1
7.675824855E0,1.012249947E1
7.875826261E0,1.176124954E1
8.075828449E0,1.012249947E1
8.275833709E0,9.928750038E0
8.475834647E0,9.832499504E0
8.675838032E0,8.676249504E0
8.875842667E0,1.060375023E1
9.075844334E0,9.543749809E0
9.275848449E0,1.060375023E1
9.475819126E0,8.965000153E0
9.675823188E0,8.483749390E0
9.875825949E0,8.193749428E0
1.007582876E1,8.193749428E0
1.027583225E1,8.579999924E0
1.047583423E1,8.001250267E0
1.067583970E1,8.386249542E0
1.087584111E1,8.579999924E0
1.107584538E1,8.386249542E0
1.127584715E1,8.579999924E0
1.147581886E1,7.518749714E0
1.167582204E1,7.326249599E0
1.187582621E1,6.844999790E0
1.207583027E1,7.133749962E0
1.227583220E1,7.904999733E0
1.247583397E1,7.422499657E0
1.267583803E1,7.712499619E0
1.287584241E1,7.614999771E0
1.307584402E1,7.422499657E0
1.327584652E1,6.844999790E0
1.347581902E1,6.747499943E0
1.367582387E1,7.422499657E0
1.387582636E1,6.747499943E0
1.407582803E1,6.266249657E0
1.427583163E1,6.554999828E0
1.447583605E1,5.976249695E0
1.467583772E1,4.916249752E0
1.487584048E1,7.422499657E0
1.507584371E1,6.844999790E0
1.527584808E1,5.879999638E0
1.547581871E1,6.266249657E0
1.567582251E1,5.302499771E0
1.587582501E1,5.591249943E0
1.607582808E1,5.879999638E0
1.627583225E1,5.494999886E0
1.647583361E1,5.783750057E0
1.667583736E1,5.783750057E0
1.687584038E1,5.976249695E0
1.707584319E1,5.879999638E0
1.727584616E1,5.879999638E0
1.747571668E1,5.012499809E0
1.767572897E1,5.687500000E0
1.787573272E1,5.204999924E0
1.807572694E1,5.976249695E0
1.827572767E1,5.494999886E0
1.847573105E1,4.627500057E0
1.867578668E1,5.494999886E0
1.887573084E1,4.819999695E0
1.907572871E1,4.723750114E0
1.927572715E1,4.627500057E0
1.947573236E1,4.916249752E0
1.967573475E1,4.916249752E0
1.987573986E1,5.687500000E0
2.007573522E1,4.723750114E0
2.027573069E1,4.337500095E0
2.047573866E1,4.531250000E0
2.067573319E1,4.723750114E0
2.087573579E1,5.591249943E0
2.107572715E1,4.531250000E0
2.127584569E1,4.819999695E0
2.147581819E1,4.916249752E0
2.167582131E1,4.627500057E0
2.187582428E1,4.144999981E0
2.207582683E1,4.144999981E0
2.227583006E1,4.627500057E0
2.247583340E1,3.566249847E0
2.267583642E1,4.434999943E0
2.287584032E1,4.819999695E0
2.307584381E1,2.988749981E0
2.327584543E1,3.470000029E0
2.347581777E1,4.241250038E0
2.367582043E1,3.373749971E0
2.387582376E1,2.698750019E0
2.407582704E1,3.566249847E0
2.427582960E1,3.566249847E0
2.447583282E1,3.856249809E0
2.467583616E1,2.988749981E0
2.487583913E1,3.277499914E0
2.507584350E1,2.794999838E0
2.527584517E1,4.144999981E0
2.547581767E1,4.048749924E0
2.567582204E1,3.759999990E0
2.587582262E1,3.470000029E0
2.607582678E1,3.373749971E0
2.627582975E1,2.602499962E0
2.647583246E1,4.048749924E0
2.667583715E1,4.434999943E0
2.687583855E1,3.566249847E0
2.707584142E1,3.470000029E0
2.727584439E1,3.277499914E0
2.747584788E1,3.277499914E0
2.767582038E1,2.409999847E0
2.787582428E1,2.698750019E0
2.807582798E1,3.085000038E0
2.827582840E1,3.952499866E0
2.847583381E1,2.698750019E0
2.867583548E1,3.952499866E0
2.887583845E1,2.506249905E0
2.907584100E1,1.059999943E0
2.927584428E1,3.277499914E0
2.947584887E1,3.566249847E0
2.967582027E1,3.470000029E0
2.987582340E1,1.350000024E0
3.007582605E1,2.892499924E0
3.027583048E1,2.988749981E0
3.047583189E1,3.373749971E0
3.067583538E1,2.698750019E0
3.087583738E1,2.988749981E0
3.107584087E1,2.698750019E0
3.127584342E1,2.988749981E0
3.147584592E1,8.675000072E-1
3.167581874E1,3.373749971E0
3.187572895E1,3.277499914E0
3.207572947E1,2.506249905E0
3.227572837E1,1.831249952E0
3.247572608E1,3.181249857E0
3.267572593E1,2.217499971E0
3.287574244E1,1.735000014E0
3.307572634E1,2.217499971E0
3.327572639E1,2.121249914E0
3.347572905E1,1.831249952E0
3.367572801E1,1.927500010E0
3.387572775E1,1.927500010E0
3.407572660E1,6.750000119E-1
3.427572603E1,1.446249962E0
3.447572952E1,1.446249962E0
3.467572926E1,1.735000014E0
3.487572900E1,1.446249962E0
3.507572900E1,1.156250000E0
3.527573900E1,2.602499962E0
3.547584738E1,1.735000014E0
3.567581801E1,1.059999943E0
3.587582322E1,1.735000014E0
3.607582457E1,1.059999943E0
3.627582973E1,2.313750029E0
3.647583067E1,1.446249962E0
3.667583535E1,9.637500048E-1
3.687583723E1,1.735000014E0
3.707584108E1,1.735000014E0
3.727584322E1,1.446249962E0
3.747584634E1,2.217499971E0
3.767581806E1,2.024999857E0
3.787582327E1,1.638749957E0
3.807582426E1,1.156250000E0
3.827582780E1,1.638749957E0
3.847583093E1,1.542500019E0
3.867583416E1,2.024999857E0
3.887583686E1,1.542500019E0
3.907583994E1,1.156250000E0
3.927584264E1,1.059999943E0
3.947584572E1,2.313750029E0
3.967580921E1,1.735000014E0
3.987581166E1,1.059999943E0
4.007581384E1,8.675000072E-1
4.027582728E1,1.735000014E0
4.047583207E1,1.542500019E0
4.067583363E1,1.735000014E0
4.087583660E1,1.446249962E0
4.107583931E1,1.542500019E0
4.127584259E1,1.542500019E0
4.147584561E1,1.059999943E0
4.167581790E1,1.638749957E0
4.187582113E1,1.542500019E0
4.207582416E1,1.542500019E0
4.227582718E1,1.542500019E0
4.247583129E1,1.542500019E0
4.267583327E1,4.824999869E-1
4.287583624E1,4.824999869E-1
4.307583921E1,1.059999943E0
4.327584358E1,1.446249962E0
4.347584535E1,4.824999869E-1
4.367581780E1,4.824999869E-1
4.387582228E1,1.059999943E0
4.407582358E1,1.059999943E0
4.427582822E1,1.253749967E0
4.447583134E1,4.824999869E-1
4.467583290E1,0.000000000E0
4.487583759E1,4.824999869E-1
4.507583900E1,0.000000000E0
4.527584202E1,4.824999869E-1
4.547584639E1,4.824999869E-1
4.567581707E1,4.824999869E-1
4.587582004E1,4.824999869E-1
4.607573791E1,8.675000072E-1
4.627573186E1,8.675000072E-1
4.647573348E1,4.824999869E-1
4.667573040E1,4.824999869E-1
4.687572895E1,0.000000000E0
4.707572900E1,1.253749967E0
4.727573041E1,3.849999905E-1
4.747572895E1,7.712500095E-1
4.767572952E1,1.253749967E0
4.787572900E1,2.887499928E-1
4.807574384E1,7.712500095E-1
4.827572780E1,7.712500095E-1
4.847572608E1,8.675000072E-1
4.867572603E1,6.750000119E-1
4.887572666E1,0.000000000E0
4.907572639E1,7.712500095E-1
4.927573098E1,2.887499928E-1
4.947572587E1,0.000000000E0
4.967584879E1,2.887499928E-1
4.987581999E1,2.887499928E-1
5.007571692E1,2.887499928E-1
5.027582567E1,2.887499928E-1
5.047582848E1,2.887499928E-1
5.067583332E1,2.887499928E-1
5.087583478E1,7.712500095E-1
5.107583936E1,6.750000119E-1
5.127584082E1,2.887499928E-1
5.147584421E1,2.887499928E-1
5.167584712E1,7.712500095E-1
5.187581905E1,6.750000119E-1
5.207582400E1,1.059999943E0
5.227582567E1,2.887499928E-1
5.247582869E1,2.887499928E-1
5.267583259E1,2.887499928E-1
5.287583619E1,2.887499928E-1
5.307583702E1,2.887499928E-1
5.327584051E1,2.887499928E-1
5.347584468E1,2.887499928E-1
5.367584858E1,2.887499928E-1
5.387581931E1,1.059999943E0
5.407582207E1,0.000000000E0
5.427582483E1,2.887499928E-1
5.447582858E1,0.000000000E0
5.467583150E1,2.887499928E-1
5.487583447E1,1.059999943E0
5.507583718E1,2.887499928E-1
5.527584041E1,1.059999943E0
5.547584374E1,0.000000000E0
5.567584598E1,0.000000000E0
5.587582009E1,2.887499928E-1
5.607582290E1,0.000000000E0
5.627582499E1,0.000000000E0
5.647582895E1,0.000000000E0
5.667583103E1,0.000000000E0
5.687583306E1,0.000000000E0
5.707583718E1,0.000000000E0
5.727584072E1,0.000000000E0
5.747584296E1,0.000000000E0
5.767584572E1,0.000000000E0
5.787581874E1,0.000000000E0
5.807582249E1,0.000000000E0
5.827582473E1,6.750000119E-1
5.847582780E1,0.000000000E0
5.867583160E1,0.000000000E0
5.887583389E1,0.000000000E0
5.907583692E1,0.000000000E0
5.927584030E1,0.000000000E0
5.947584301E1,4.824999869E-1
5.967584593E1,0.000000000E0
5.987581806E1,0.000000000E0
6.007582306E1,0.000000000E0
6.027572712E1,0.000000000E0
6.047573009E1,0.000000000E0
6.067572952E1,0.000000000E0
6.087573025E1,0.000000000E0
6.107578035E1,0.000000000E0
6.127572540E1,0.000000000E0
6.147572483E1,0.000000000E0
6.167572936E1,0.000000000E0
6.187572879E1,0.000000000E0
6.207572853E1,0.000000000E0
6.227572853E1,0.000000000E0
6.247573020E1,0.000000000E0
6.267573051E1,0.000000000E0
6.287572879E1,0.000000000E0
6.307572884E1,0.000000000E0
6.327572884E1,0.000000000E0
6.347573827E1,0.000000000E0
6.367573051E1,0.000000000E0
6.387581697E1,0.000000000E0
6.407571676E1,1.059999943E0
6.427582353E1,0.000000000E0
6.447582655E1,0.000000000E0
6.467582962E1,0.000000000E0
6.487583426E1,0.000000000E0
6.507583582E1,0.000000000E0
6.527583863E1,0.000000000E0
6.547584192E1,0.000000000E0
6.567584504E1,0.000000000E0
6.587584796E1,0.000000000E0
6.607582046E1,0.000000000E0
6.627582296E1,0.000000000E0
6.647582707E1,0.000000000E0
6.667583218E1,0.000000000E0
6.687571311E1,0.000000000E0
6.707571645E1,0.000000000E0
6.727571770E1,0.000000000E0
6.747571718E1,0.000000000E0
6.767571660E1,0.000000000E0
